"title_description","base_salary"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"SCHOOL PSYCHOLGIST","117465.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER ASSIGNED A","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","128657.00"
"TEACHER","132305.00"
"TEACHER SPECIAL EDUCATION","113394.00"
"TEACHER","140588.00"
"ASSISTANT SUPERINTENDENT","213935.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"PRINCIPAL","212016.00"
"TEACHER","132305.00"
"ASSISTANT PRINCIPAL ASSIGNED","162998.00"
"TEACHER","140588.00"
"PRINCIPAL","195206.00"
"ASSISTANT PRINCIPAL","164453.00"
"TEACHER","140588.00"
"GUIDANCE COUNSELOR","137520.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","102565.00"
"TEACHER","140588.00"
"TEACHER","117531.00"
"TEACHER","128657.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","74116.00"
"TEACHER SPECIAL EDUCATION","113394.00"
"TEACHER","132305.00"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"EDUCATIONAL ADMINISTRATOR CSA","156981.00"
"ASSISTANT PRINCIPAL","141960.00"
"TEACHER","140588.00"
"TEACHER","113394.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","140588.00"
"TEACHER","113394.00"
"TEACHER","102565.00"
"TEACHER","140588.00"
"TEACHER","124021.00"
"TEACHER SPECIAL EDUCATION","89497.00"
"TEACHER","132517.00"
"TEACHER","140588.00"
"TEACHER","121078.00"
"TEACHER","132305.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"PRINCIPAL","204920.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER ASSIGNED A","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER","121677.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"PRINCIPAL","192800.00"
"PRINCIPAL","199937.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"ASSISTANT PRINCIPAL","167253.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","132305.00"
"ASSISTANT PRINCIPAL","153562.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"SCHOOL SECRETARY","77244.00"
"TEACHER","133777.00"
"EDUCATIONAL ADMINISTRATOR CSA","166255.00"
"TEACHER","132305.00"
"TEACHER","136442.00"
"TEACHER","132305.00"
"TEACHER","125494.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"ASSISTANT PRINCIPAL","172266.00"
"PRINCIPAL","212016.00"
"TEACHER","132467.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","136442.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","132305.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","132305.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER ASSIGNED A","140588.00"
"TEACHER","140588.00"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL","160566.00"
"ASSISTANT PRINCIPAL","167253.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","148088.00"
"TEACHER","128657.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"ASSISTANT PRINCIPAL","185873.00"
"TEACHER","113803.00"
"ASSISTANT PRINCIPAL","151186.00"
"TEACHER","140588.00"
"TEACHER","85174.00"
"EDUCATIONAL ADMINISTRATOR CSA","162561.00"
"TEACHER-REG SUB","128657.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","132517.00"
"TEACHER","140588.00"
"TEACHER","132517.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","132305.00"
